word,synonyms,sentence
arcane,esoteric/recondite/abstruse,"Communities  built around common
goals and beliefs, rather than arcane licensing policies trying to protect a company's mobile market.
在群体里大家有着共同的目标和信 仰，不会使用那些晦涩难懂的许可条
款来保护某些公司的移动市场 。"
archaic,antediluvian/outdated,"Though social philosophy is an
archaic concept, it really is an emerging field of investigation.
可以说社会哲学是一个古老的概念又
是一个新兴的研究领域 。"
archetype,,
ardor,,
arduous,taxing/laborious,"The task is arduous; besides, there's
not much time.
任务艰巨，同时时间又很紧迫。"
argument,,
arid,,
array,,
arrest,,"The deepening economic gloom may well mean that it will eventually prove necessary to cut interest rates to arrest a sharper downturn.
逐渐加强的经济衰退迹象也许终将证明降低利率以抑制经济衰退是必要的
手段。"
arresting,,
arrhythmic,,
arrogance,,
articulate,,"The president has been accused of
failing to articulate an overall vision in foreign affairs.
总统因未能清晰表述对外交事务的整
体构想而受到指责。"
ascendant,,"Radical reformers are once more in the ascendant.
激进派的改革家们再一次占了山风 。"
ascetic,,"He lives an ascetic life.
他过着苦行的生活。"
aseptic,,
askew,,
aspect,,
asperity,,"He spoke to the boy with asperity.
他严厉地对那男孩讲话 。"
aspersion,slur,"We cast no aspersion on the man or his program. Mr. Obama, in his short career, has not strongly associated himself with any policy idea.
我们无意诽谤这个人或他的计划 ，然而奥巴马在他短暂的职业生涯里 ，从未对任何政策主张表现过强烈支持的
态度。"
aspirant,,
assail,,"The opposition's newspapers assail the government each day.
反对党的报纸每天都对政府进行猛烈抨击。"
assent,,"The director has given her assent to
the proposals.
负责人已表示同意提案 。"
assert,,"The defendants, who continue to assert their innocence, are expected to appeal.
各被告仍然宣称自己无辜 ，并会提起上诉。"
assertive,,
assess,,
assiduous,,"My grandpa has been assiduous in
learning foreign language.
爷爷一直很努力地学习外语 。"
assuage,,"To assuage his wife's grief, James
took her on a tour of Europe.
为了缓和妻子的悲痛 ，杰姆斯带她去
了欧洲旅游。"
astounding,,"The results are quite astounding.
结果令人无比震惊。"
astute,shrewd,"He made a series of astute business
decisions.
他作出了一系列精明的商业决策 。"
asunder,,"The debate is tearing Wall Street
asunder.
这场争论令华尔街分崩离析 。"
asylum,,
asymmetrical,,
atone,,
atrocious,,
atrophy,,
attenuate,,"You could never eliminate risk, but preparation and training could attenuate it
风险不可能完全消除 ，但可以通过防
范和培训来降低。"
attest,,
attune,,"He became very attuned to all the
suffering around him.
他变得对周围的苦难有强烈的共鸣 。"
audacious,striking,"Your plan of going abroad is an
audacious decision.
你计划出国是一项大胆的决定 。"
augur,,"The renewed violence this week
hardly augurs well for smooth or peaceful change.
本周新一轮的暴力事件预示着顺利平和的转变几乎不可能实现 。"
august,,"The sense of the might and
willpower of the American nation streamed up to me from the august assembly.
从这个庄严的集会中 ，我不断地意识
到美国这个国家的能力和意志力 。"
auspicious,favorable,"With favorable weather conditions it
was an auspicious moment to set sail.
风和日丽，正是扬帆出海的黄道吉日
。"
austere,,"He was a man of austere habits, in
marked contrast to his more flamboyant wife.
他朴素的作风与其张扬的妻子形成了
鲜明的对比。"
authentic,,
authority,,
autocracy,,
automatic,,
autonomy,,"Activists stepped up their demands
for local autonomy last month.
上个月激进分子对地方自治的呼声更
高了。"
avant-garde,,"It was one of the first avant-garde
works to appeal to a wide audience.
这是受到听众广泛欢迎的第一批先锋
派作品之一。"
avarice,,
aver,,"In spite of all you say, I still aver that
his report is true.
不管你怎么说, 我还是断言他的报告
是真实的。"
averse,,
avid,,"She was avid for praise from her
coach.
那女孩渴望得到教练的称赞 ."
avowal,,
awash,,"This, after all, is a company which is
awash with cash.
这毕竟是一家现金充裕的公司 。"
awe,,"While Diana was in awe of her grandfather, she adored her grandmother.
黛安娜敬畏她的祖父 ，但敬佩她的祖母。"
awkward,ungainly,"Amy made an awkward gesture with her hands.
艾米笨拙地做了个手势 。"
awry,,"Things started to go awry just after you left the company.
你刚离开公司，事情就出了岔子。"
axiomatic,,"It is axiomatic that as people grow
older they generally become less agile.
人年纪越大通常灵活性越差 ，这是不言而喻的。"
babble,,
backfire,,"The President's tactics could backfire.
总统的策略可能会适得其反 。"
backhanded,,"In a backhanded way, I think a lot of my energy and strength comes from my campaigning.
我觉得我的活力和力量很多都间接来
自于我的竞选运动。"
backslide,,
badger,,"Richard's mother badgered him into taking a Spanish wife.
理查德的母亲磨破嘴皮子 ，终于说服他娶了个西班牙太太 。"
badinage,,
baffle,,"An apple tree producing square fruit is baffling experts.
一棵结方形苹果的树令专家大惑不解
。"
bait,,
balderdash,,
bale,,
baleful,,"They must do more to deal with the
baleful legacy of communism, build trust in public institutions and fight against corruption.
它们必须付出更多努力来应对共产主义的贻害，构建对公共机构的信任 ，
并打击腐败。"
balk,,"We get strong indications that his agent would balk at that request.
我们得到的强烈暗示是他的经纪人会回避那个要求。"
balky,,
balloon,,"In London, the use of the Tube has
ballooned.
在伦敦，坐地铁的人激增。"
balm,,
banal,stale,"The script is utterly banal. It is
incredible that human minds can put such muck on to paper.
这个剧本是十足的平庸之作 ，难以想
象有人会写出这样的垃圾 。"
bane,,
banish,expel/oust,"John was banished from England.
约翰被逐出了英格兰 。"
banter,raillery,"The soldiers bantered with him as though he was a kid brother.
士兵们把他当作弟弟一样和他开着玩
笑。"
barb,,
barbarous,,
barefaced,,
bargain,,
baroque,,"Some of baroque architecture over the pursuit of luxury boldness, even to the point of tedious piling up.
有些复杂的建筑过分追求华贵气魄 ，
甚至到了繁琐堆砌的地步 。"
barrage,,
barren,,"He also wants to use the water to
irrigate barren desert land.
他也想用这些水灌溉荒漠 。"
barricade,,
barter,,
bash,,
bathetic,,"A bathetic novel will be detrimental to your mind to some extent.
一本陈腐的小说会从某种程度上荼毒
你的思想。"
bedeck,,
befuddle,perplex,"Don't befuddle me with all those masses of detail.
不要拿一大堆琐事把我搞迷糊 。"
beguile,,"He used his newspapers to beguile
the readers into buying shares in his company.
他利用他的报纸诱骗读者买他公司的
股票。"
beholden,indebted,"He was made beholden to the Mafia.
他受过黑手党的恩惠 。"
behoove,,
beige,,
belabor,overemphasize,"I don't want to belabor the point, but
it is vital you understand how important this is.
我并不想啰嗦，但至关重要的是你得
理解这件事的重要性"
beleaguer,,"Civilian trap in the beleaguer city has
been airlifted to safety.
被围困在城里的老百姓已空运到安全
地区。"
belie,mask,"Her energy and youthful good looks belie her 65 years.
她的活力与年轻美貌使人看不出她有
65岁了。"
belligerent,pugnacious,"At the moment southerners are loyal
mostly to belligerent tribal chiefs, not the nascent government that led the fight for independence.
目前，南部苏丹居民主要效忠于好战的部落首领，而不是带领他们为独立
而战的新生的政府。"
bellwether,,
beneficent,,
benign,"innocuous
/anodyne","He did not believe in the terrible aspect of Kali, much less in her benign aspect.
他不相信外貌骇人的卡利女神 ，更加
不相信她和善的一面 。"
berate,,"Marion berated Joe for the noise he
made.
玛丽昂严厉斥责乔吵吵闹闹 。"
beseech,,
beset,,"The country is beset by severe economic problems.
这个国家被严重的经济问题所困扰 。"
besmirch,,"He has accused local people of
trying to besmirch his reputation.
他指责当地人企图败坏他的名声 。"
bewitching,,
bifurcate,,"The stream bifurcates into two narrow winding channels.
那条小溪分成两股窄而弯曲的支流 。"
bigot,,
blackmail,,
bland,insipid,"It tasted bland and insipid, like warmed cardboard.
这吃起来淡而无味，像加热过的纸板
。"
blandishment,,
blasé,,
blast,,
blatant,conspicuous,"The delegation submitted a memorandum to the Commons on the blatant violations of basic human rights.
代表团向下院呈交了有关公然侵犯基本人权的备忘录。"
blazon,,
blemish,defect,"He wasn't about to blemish that pristine record.
他本不想去玷污那清白的过去 。"
blight,,
bliss,,
blithe,,"Face everyday in your life with a
blithe spirit , try to experience , to taste , to appreciate.
以愉快的心态去面对你生命中的每一天，尝试着去体会，去品味，去感激
。"
blueprint,,
bluff,,
blunder,,
blunt,,"He was sawing the bread with a blunt knife.
他用一个很钝的小刀切面包 。"
blur,,"The writing blurred and danced
before his eyes.
字迹变得一片模糊，在他眼前晃动。"
blurt,,
bluster,,"The lady simply ignored his bluster as empty rhetoric.
那位女士把他的咆哮只当作虚张声势的言词而不予理睬。"
boggle,,
bogus,,"The scholar produced some bogus documents to support her claim.
该学者提出了一些伪造的文献来支持
她的观点。"
bohemian,,
boisterous,,"We can hear their boisterous
laughter in the next room.
我们可以听到他们在隔壁房间的喧闹
的笑声。"
bolster,buttress/propup,"Prime minister unveiled new
economic aid packages to bolster political and economic transitions in the region.
总理公布新的经济援助措施来支持该
地区的政治和经济转变 。"
bombast,,
bonhomie,,"He was full of bonhomie.
他非常友善。"
boo,,"The audience booed as she started
her speech.
她一开始讲话，听众便发出一阵嘘声
。"
boon,benefit,"Low-cost Chinese imports have
been a boon to European consumers, retailers and producers.低成本的中国进口产品给欧洲消费者
、零售商和生产商带来了实惠 。"
boorish,,
bootless,,"In the absence of exact data, these discussions are bootless.
由于缺乏确切的资料 ，这些讨论是无
用的。"
bore,,"Dickie bored him all through the
meal with stories of the Navy.
迪基吃饭时一直在讲海军的故事 ，让
他不胜其烦。"
bound,,
boycott,,"The main opposition parties are boycotting the elections.
主要反对党都抵制此次选举 。"
bracing,,
brake,,"She braked sharply to avoid another
car.
她为了躲另一辆车而紧急刹车 。"
brandish,boast,"As a modest scholar, my professor
never brandishes his intellect.
作为一名谦虚的学者 ，我的教授从不
吹嘘自己的才智。"
brash,,"On stage she seems hard, brash
and uncompromising.
在舞台上,她显得冷酷、自以为是而且不妥协。"
brassy,,
bravado,,"He behaved aggressively out of
bravado.
他摆出一副挑衅的架势 ，但只是虚张
声势。"
bravura,,
brazen,,"The brazen woman laughed loudly
at the judge who sentenced her.
那无耻的女子冲着给她判刑的法官高
声大笑。"
breach,,
brevity,,"Brevity is the soul of English.
简洁是英语的精华。"
bribe,,
bridle,,"She tried with all her might to bridle
her resentment.
她努力抑制住自己的怨恨 。"
brim,,
brisk,,"Taking a brisk walk can often induce
a feeling of well-being.轻快的散步经常能使人心旷神怡。"
bristle,,"His hair bristled with anger.
他怒发冲冠。"
brittle,,"Pine is brittle and breaks.
松木硬脆易折。"
broach,,
bromide,,"The meeting produced the usual
bromides about macroeconomic policy, third-world debt and the environment.
会议上提出的还是那些惯常讨论的老套话题——宏观经济政策、第三世界
债务和环境问题。"
brook,tolerate,"Jenny would brook no criticism of
Matthew.
珍妮不会容忍任何对马修的批评 。"
browbeat,,
bruit,,
buck,,"He wants to be the tough rebel who bucks the system.
他想成为抵制体制的强硬叛逆者 。"
budge,,
bulge,,
bully,,
bumble,,
bumptious,,
bungle,,"I was afraid you would bungle this assignment but I had no one else to send.
我担心这份工作给你搞砸了 ，可是我
再也派不出别人了"
buoy,help,"The party was buoyed by an election
victory.
竞选获胜，该党情绪一片高涨。"
buoyant,,
bureaucratic,,
burgeon,expand/flourish,"Manufacturers  are keen to cash in
on the burgeoning demand.
需求急速增长，制造商急着从中捞一
把。"
burlesque,,"The antics of the defense attorneys
turned the trial into a burlesque of justice.
辩护律师们滑稽的动作将审判变成了
对正义的滑稽讽刺"
burnish,,
bustle,,
buttress,bolster,"You need more facts to buttress up
your argument.
你需要有更多的事实来支持你的论据
。"
byzantine,,"The procedures surrounding legal
redress are byzantine.
修改法律的程序是错综复杂的 。"
cache,,"A huge arms cache was discovered by police.
警方发现了大批私藏的军火 。"
cachet,,"No other shipping company had
quite the cachet of Cunard.
没哪家船运公司有肯纳德轮船公司这
样的声望。"
cacophony,,"We can always hear a cacophony of
horns during the traffic jam.
交通阻塞时，我们总能听到一片不和
谐的喇叭声。"
cagey,,"The cagey fox could not be easily
trapped by the farmer.
那只狡猾的狐狸不会轻易落入农夫的
陷阱。"
cajole,,"He cajoled me into agreeing to do the work.
他诱骗我同意接下那份工作 。"
calamity,,"The recent flooding in the south was a calamity.
最近南方的洪水是一场灾难 。"
calcify,,
calculated,,"Student's metacognition capability
will be improved much quickly by the calculated guidance from teachers.教师有计划地知道可以让学生的元认
知能力的提高得更快 。"
calibrate,,"He is reading instructions on how to calibrate a thermometer.
他在看校准温度计的说明 。"
calligraphy,,
callous,heartless,"The callous couple milked money from a hospital charity to fund a lavish lifestyle.
为了过上奢靡的生活 ，这对冷漠无情
的夫妇竟然贪污医院的慈善基金 。"
callow,,"He was a callow youth when he
joined the newspaper.
他进报社时还是个乳臭未干的小子 。"
calumniate,,
camaraderie,solidarity,"Everyone in our class is permeated with the spirit of camaraderie.
我们班贯穿着友爱的精神 。"
camouflage,,"The soldiers camouflaged
themselves with leaves.
士兵用树叶来伪装自己 。"
canard,,"Since the age of internet was
coming, canard of internet then challenged the authenticity of news.自从人类进入互联网时代以来 ，网络
谣言便对新闻真实提出了新的挑战 。"
candor,,
canny,shrewd/deft,"A canny investor would need to predict when the dollar will once more start tumbling.
精明的投资者需要预计到美元何时会
再次大跌。"
canon,,
canonize,,
cantankerous,,"He met a crabbed, cantankerous director.
他碰上了一位坏脾气 、易怒的主管。"
canvass,,
capitulate,,"In less than two hours Cohen capitulated to virtually every demand.
还不到两个小时，科恩就投降了，接
受了几乎一切要求。"
caprice,,
captious,,"There is no captious client but faulty
product.
只有不完美的产品，没有挑剔的客户
。"
captivate,enamor,"For 40 years she has captivated the
world with her radiant looks.
40年来，她那令人惊艳的美貌让全世
界为之痴迷。"
cardinal,,"As a salesman, your cardinal rule is
to do everything you can to satisfy a customer.
作为推销员,最基本的原则是竭尽全力让顾客满意。"
careen,,
carefree,,
careworn,,
caricature,,"He had unfairly presented a caricature of my views.
他歪曲了我的观点。"
carnal,,
carouse,,
carp,,
cascade,,
cast,,
castigate,chastise,"Marx never lost an opportunity to castigate colonialism.
马克思抓住每一个机会严厉谴责殖民
主义。"
cataclysmal,,
catalyze,,
catastrophe,,"From all points of view, war would
be a catastrophe.
不管从哪方面说，战争都将是场灾难
。"
categorical,,"We don't know whether this was
because he didn't want to take the chance or because he believed in the categorical moral principles.
我们不知道这是否是因为他不想冒这个险，还是因为他相信绝对的道德原
则。"
caterwaul,shriek,"We were woken by a high, snarling caterwaul, a sort of screaming wail.
我们被一声尖厉的叫声惊醒 ，那是一
种尖声的嚎叫。"
catharsis,,
catholic,,"He was a man of catholic tastes, a lover of grand opera, history and the fine arts.
他这个人兴趣广泛，大歌剧、历史、美术，无所不好。"
caustic,,"He delights in making caustic remarks.
他说话刻薄，还以此为乐。"
cavalier,,"The chief editor takes a cavalier
attitude to the concept of fact checking.
总编辑对于核对事实持轻蔑的态度 。"
caveat,,
cavil,,"Although his composition was
flawless, the teacher was always cavil ling at his handwriting.
虽然他的作文写得完美无瑕 ，但老师
对他的书法总是百般挑剔 。"
cede,,"Germany and Japan need to cede to
the emerging economies industries in which they are no longer competitive.
德国和日本应该对新兴经济体让出他
们不在占有优势的行业 。"
cellular,,
cement,,"Nothing cements a friendship between countries so much as trade.
贸易最能增强国家间的友谊 。"
censor,,"Censor on film means you examine a film to see whether it can be released or not.
审查电影就是检查一部电影是否能够发行。"
censure,reprehend,"I deserve neither such praise nor
such censure.
这样的夸奖我不敢当 ，这样的责备我
也不敢当。"
ceremonious,,
certitude,,
cessation,,
chaff,,
chagrin,vexation,"But to the chagrin of many of its
trading partners, the stabilization of the Chinese renminbi is most unwelcome.
但对中国的贸易伙伴来说 ，人民币汇
率趋稳可不是好事，令它们失望。"
chameleon,,
champion,defend/espouse/support,"He has always championed the cause of gay rights.
他一直在为支持同性恋者的权利而斗
争。"
channel,,
chaperone,,
charisma,,"He was elected to power on the
strength of his charisma
他凭借其个人魅力而当选掌权 。"
charlatan,,"He was exposed as a charlatan.
他被揭穿，原来是个骗子。"
chary,,"I am rather chary of making too
many idiotic mistakes.
我小心翼翼避免犯太多的愚蠢错误 。"
chase,,
chasm,,
chauvinistic,,
check,stem,"She wanted to tell him the whole
truth but she checked herself─it wasn't the right moment.
她本想告诉他全部真相 ，但是又忍住
了—那还不是时候。"
cherished,,
cherubic,,
